nombre,dia_nacimiento,estado,pais,profesion,fase_luna
GARRY KASPAROV,13-ABRIL,BAKU,AZERBAIJAN,AJEDRECISTA,PRIMER MENGUANTE
GARSILASO DE LA VEGA,6-FEBRERO,TOLEDO,ESPAÑA,ESCRITOR,LUNA NUEVA
GENE HACKMAN,30-ENERO,"SAN BERNADINO,CA",USA,ACTOR,LUNA NUEVA
GEORGE BERKELEY,12-MARZO,THOMASTOWN,IRLANDA,FILÓSOFO,PRIMER CRECIENTE
GEORGE BERNARD SHAW,26-JULIO,DUBLIN,IRLANDA,ESCRITOR,SEGUNDO MENGUANTE
GEORGE BUSH,12-JUNIO,"MILTON, MASS.",USA,POLÍTICO,SEGUNDO CRECIENTE
GEORGE F.HEGEL,27-AGOSTO,STUTTGARD,ALEMANIA,FILÓSOFO,PRIMER CRECIENTE
GEORGE HARRISON,25-FEBRERO,LIVERPOOL,INGLATERRA,MÚSICO,CUARTO MENGUANTE
GEORGE J. MIVART,30-NOVIEMBRE,LONDRES,INGLATERRA,CIENTÍFICO,SEGUNDO CRECIENTE
GEORGE PATTON,11-NOVIEMBRE,"SAN GABRIEL, CA",USA,MILITAR,PRIMER CRECIENTE
GEORGE W. BUSH,6-JULIO,"NEW HAVEN,CONN.",USA,POLÍTICO,CUARTO CRECIENTE
GEORGE WASHINGTON,22-FEBRERO,"WESTMORELAND,VI",USA,POLÍTICO,SEGUNDO MENGUANTE
GEORGE WESTINGHOUSE,6-OCTUBRE,NEW YORK,USA,CIENTÍFICO,LUNA LLENA
GEORGES CUVIER,23-AGOSTO,MONTEBELIARD,FRANCIA,CIENTÍFICO,PRIMER MENGUANTE
GERALD FORD,14-JULIO,"OMAHA,NEBRASCA",USA,POLÍTICO,SEGUNDO CRECIENTE
GERHARD SCHRODER,7-ABRIL,MOSSENBERR,ALEMANIA,POLÍTICO,LUNA LLENA
GERTRUDE STEIN,3-FEBRERO,"ALLEGENY,PENN",USA,ESCRITORA,LUNA LLENA
GIANNI VERSACE,2-DICIEMBRE,"REGGIO, CALABRIA",ITALIA,MODISTO,LUNA NUEVA
GIBRÁN JALIL GIBRÁN,6-ENERO,BESHARRE,LÍBANO,ESCRITOR,LUNA NUEVA
GINA LOLLOBRIGIDA,4-JULIO,SUBIACO,ITALIA,ACTRIZ,CUARTO CRECIENTE
GIOACHINO ROSSINI,29-FEBRERO,PESARO,ITALIA,MÚSICO,CUARTO CRECIENTE
GIOVANNI BENEDETTI,14-AGOSTO,VENECIA,ITALIA,MATEMÁTICO,CUARTO CRECIENTE
GIOVANNI PAPINI,9-FEBRERO,FLORENCIA,ITALIA,ESCRITOR,SEGUNDO CRECIENTE
GIUSEPPE VERDI,10-OCTUBRE,LE RONCOLE,ITALIA,MÚSICO,LUNA LLENA
GLENN MILLER,1-MARZO,"CLARINDA, IOWA",USA,MÚSICO,LUNA LLENA
GLORIA ESTEFAN,1-DICIEMBRE,HABANA,CUBA,CANTANTE,SEGUNDO CRECIENTE
